age,income_annual,monthly_expenses,cash_savings,total_assets,total_debt,risk_tolerance,knowledge_level,goal_years,target_amount,label
22,38200.72,2651.41,33064.3,0.0,0.0,moderate,intermediate,23,987399.13,balanced_long_term
61,124572.91,6642.94,32793.99,322128.31,62300.89,low,intermediate,14,280838.05,income_focus
62,82753.33,3571.03,3665.09,270834.96,22782.49,moderate,beginner,25,1399231.89,capital_preservation
43,103572.97,5264.08,79434.43,106589.65,15760.83,moderate,beginner,2,1846729.22,income_focus
42,47192.96,1173.63,28063.06,159979.94,38243.71,high,intermediate,4,1087514.36,balanced_short_term
64,124214.3,5961.47,48026.41,194430.93,55039.78,moderate,intermediate,9,760246.59,balanced_long_term
46,56250.5,2247.98,51436.16,0.0,58418.81,moderate,intermediate,14,1122064.8,capital_preservation
47,117005.2,6314.75,20533.17,120025.58,75270.85,moderate,advanced,17,150034.59,balanced_long_term
60,107372.23,5092.14,44105.19,109788.03,43921.87,moderate,beginner,2,1342581.43,income_focus
34,68662.58,2688.95,0.0,161430.56,5255.81,moderate,beginner,5,1334898.38,capital_preservation
43,80568.15,3184.75,18149.08,0.0,0.0,low,advanced,13,1299830.67,income_focus
43,67982.69,4674.95,8089.07,190475.9,0.0,low,beginner,21,745725.19,capital_preservation
24,12000.0,950.0,8943.39,0.0,0.0,moderate,intermediate,14,1174507.16,balanced_long_term
34,157080.05,6912.28,13682.58,257133.15,63777.88,moderate,beginner,19,1267653.29,capital_preservation
53,31505.66,676.31,0.0,481.32,0.0,moderate,beginner,3,10000.0,capital_preservation
39,99108.12,5548.21,74695.3,498325.68,51264.22,moderate,beginner,14,1200783.6,income_focus
67,66308.92,2304.64,13057.46,227381.01,29490.07,low,intermediate,10,10000.0,income_focus
52,82579.79,5906.42,23901.81,241798.42,8931.1,low,beginner,20,456080.45,income_focus
46,48037.6,3207.91,0.0,183845.16,32211.2,moderate,beginner,11,508909.23,capital_preservation
27,64525.74,1486.7,0.0,117499.17,85747.66,high,advanced,5,1214369.6,capital_preservation
42,94872.21,3855.2,51375.27,193759.09,94635.51,low,advanced,10,10000.0,income_focus
19,162564.96,7235.47,31061.56,419220.75,12615.91,low,intermediate,4,704046.16,income_focus
43,77645.07,3963.82,54598.31,127337.79,52933.33,low,intermediate,15,367577.3,income_focus
57,45483.14,1683.7,34268.35,0.0,17144.36,low,advanced,17,636872.92,income_focus
68,130124.1,6609.76,65965.98,176645.47,17705.73,low,intermediate,9,1132430.02,income_focus
61,89072.04,4356.34,85204.86,358829.41,0.0,high,beginner,4,556969.74,income_focus
62,139263.41,5508.01,18462.19,0.0,42235.56,moderate,advanced,1,2658281.47,capital_preservation
33,45541.26,1974.19,0.0,0.0,101109.33,low,intermediate,12,2377685.15,capital_preservation
67,32279.5,1037.58,16608.76,255862.97,0.0,low,advanced,4,1326074.56,income_focus
26,78977.97,1969.95,13790.15,86500.45,36929.08,low,intermediate,9,1759536.86,income_focus
59,100829.04,4685.12,25209.37,64656.59,47949.93,low,beginner,12,2569876.23,income_focus
51,102363.09,3775.97,0.0,296481.8,46337.05,high,beginner,17,1695578.86,capital_preservation
59,35030.62,1039.74,15350.58,58841.94,573.87,low,intermediate,27,1114421.88,income_focus
68,12000.0,500.0,7412.81,53519.28,0.0,moderate,beginner,25,2295512.66,income_focus
35,123872.26,5283.25,29434.96,59460.57,29977.04,high,advanced,11,2299233.7,growth_aggressive
58,104758.9,6894.17,37164.55,256496.93,24802.78,moderate,beginner,10,1742187.95,income_focus
19,120205.77,5280.65,59332.62,270412.93,114897.86,low,advanced,6,949785.12,income_focus
67,61677.41,4640.36,31357.7,8644.46,0.0,low,intermediate,28,496644.79,income_focus
45,55645.89,3936.81,29130.51,0.0,31650.73,moderate,intermediate,18,2212157.26,capital_preservation
30,58400.35,3385.77,0.0,264714.4,35174.39,moderate,intermediate,18,1610322.77,capital_preservation
55,95479.51,4657.43,30628.46,39617.83,27516.68,low,beginner,10,1749868.19,income_focus
46,79374.59,5415.75,1253.94,20391.89,35873.36,moderate,beginner,13,1996720.44,capital_preservation
18,122881.9,6297.03,88911.8,159703.45,0.0,moderate,intermediate,21,1080910.33,balanced_long_term
22,12898.32,500.0,0.0,0.0,22099.88,high,intermediate,14,10000.0,capital_preservation
38,87445.91,3441.81,33346.12,215403.3,36135.73,low,advanced,29,1397548.53,income_focus
30,76917.49,3761.52,39742.58,68127.29,47767.81,low,beginner,7,1622139.28,income_focus
60,26658.75,500.0,0.0,0.0,39307.92,high,intermediate,18,1816913.12,capital_preservation
60,81888.79,5377.54,22775.36,22345.4,4885.06,moderate,beginner,25,731487.48,income_focus
23,162434.64,5786.3,50429.35,118786.69,75840.01,high,intermediate,21,1696222.74,growth_aggressive
37,60974.49,1510.96,0.0,142808.59,13771.3,moderate,beginner,3,1990496.24,capital_preservation
46,18541.4,1467.86,0.0,161563.19,21824.57,moderate,beginner,9,2463259.42,capital_preservation
24,88122.15,4231.16,48936.54,30703.9,44165.57,moderate,beginner,4,374973.4,income_focus
61,12000.0,500.0,0.0,0.0,81689.25,low,intermediate,7,1260781.34,capital_preservation
48,72203.63,3531.72,33530.18,67594.42,67825.33,moderate,intermediate,21,2948255.29,balanced_long_term
68,149494.65,6961.66,51893.09,217428.0,45506.83,moderate,beginner,15,361347.11,income_focus
37,112561.87,5957.79,55272.64,212826.57,27946.7,low,beginner,15,1701660.34,income_focus
21,69897.67,814.67,0.0,268509.97,60271.58,moderate,beginner,22,10000.0,capital_preservation
44,193918.68,9409.8,34490.36,346687.64,5433.2,moderate,intermediate,28,935424.51,balanced_long_term
53,100509.04,5408.66,7917.95,258501.4,100335.64,moderate,intermediate,7,2001838.25,capital_preservation
51,148171.96,6260.17,73419.13,238036.24,62189.34,moderate,beginner,5,294158.43,income_focus
30,105355.03,2949.86,42275.53,93379.98,82786.77,moderate,beginner,27,10000.0,income_focus
61,96144.97,4191.57,17701.8,125115.26,41786.27,moderate,intermediate,25,1496999.48,balanced_long_term
66,110044.0,5399.39,78387.83,154614.71,26232.07,moderate,advanced,25,66646.16,balanced_long_term
48,61880.3,1769.62,13703.07,132935.87,23703.79,low,beginner,15,1554559.5,income_focus
31,55618.77,3207.31,18604.03,0.0,16747.36,low,intermediate,1,1142382.54,capital_preservation
55,145128.37,8149.26,29969.16,261307.08,0.0,high,intermediate,29,195900.23,growth_aggressive
21,174878.34,6603.32,22783.0,290571.32,125652.07,high,beginner,4,2365974.14,income_focus
68,65923.88,1039.4,0.0,48053.03,2249.82,high,beginner,22,10000.0,capital_preservation
30,59010.75,4234.0,0.0,12122.29,42299.03,high,beginner,12,10000.0,capital_preservation
67,38456.14,2044.9,0.0,111242.86,0.0,moderate,intermediate,2,1181233.39,capital_preservation
65,150303.05,6360.11,38378.45,257724.19,27819.43,low,beginner,7,691271.26,income_focus
49,38173.63,500.0,49816.83,363179.8,0.0,moderate,beginner,20,785332.79,income_focus
46,34897.54,2294.94,21837.07,0.0,40182.01,high,beginner,26,747006.13,capital_preservation
45,112686.55,3087.99,32281.41,122174.16,113353.29,low,beginner,4,172194.48,capital_preservation
36,99373.01,3511.74,29278.16,294561.78,21828.89,high,intermediate,6,323182.68,balanced_long_term
68,81328.55,1680.78,0.0,179840.85,7556.24,moderate,intermediate,9,1204277.32,capital_preservation
19,25742.64,2037.96,15169.43,324526.23,25817.47,moderate,intermediate,9,1612581.9,balanced_long_term
62,141327.63,5851.93,24446.72,154499.06,81096.74,low,intermediate,14,681419.7,income_focus
58,73940.73,4531.41,0.0,11706.49,0.0,low,beginner,15,313632.91,capital_preservation
31,135083.47,5897.25,8000.52,195790.65,89246.16,moderate,beginner,15,1418911.72,capital_preservation
43,114136.81,5214.89,46075.79,46995.84,39464.5,moderate,beginner,12,10000.0,income_focus
39,69207.14,1945.26,14897.31,239172.98,0.0,moderate,intermediate,13,2095884.15,balanced_long_term
56,119529.28,4110.23,1893.92,233031.56,44166.22,low,beginner,10,1208607.79,capital_preservation
22,119999.53,6468.39,0.0,0.0,82069.65,moderate,intermediate,1,10000.0,capital_preservation
43,126887.72,7972.8,44629.37,145725.58,8685.48,low,advanced,1,238699.07,income_focus
68,165332.58,8941.0,18311.88,350601.19,83451.46,moderate,beginner,18,1476528.36,capital_preservation
51,113660.78,5618.4,0.0,180525.7,17533.6,moderate,intermediate,10,2296746.51,capital_preservation
60,96484.6,6042.96,24422.48,169062.58,0.0,low,intermediate,10,23010.91,income_focus
31,81412.17,5888.46,42708.38,123491.71,38445.75,high,intermediate,1,188179.6,balanced_short_term
27,51425.58,856.63,25636.94,124090.13,0.0,low,intermediate,8,1794417.8,income_focus
62,86751.09,2962.04,0.0,171479.23,45534.08,moderate,intermediate,26,900828.51,capital_preservation
55,70640.2,3498.35,12607.97,36613.01,34839.46,moderate,beginner,29,1233589.63,capital_preservation
52,95984.7,4727.14,0.0,86228.11,91105.72,high,advanced,12,128440.37,capital_preservation
35,12000.0,584.93,3772.93,3886.7,52767.59,moderate,intermediate,14,2171078.65,capital_preservation
41,67908.71,2209.01,0.0,62711.62,80867.46,moderate,beginner,4,2428795.16,capital_preservation
69,163916.1,7400.86,44255.47,289731.08,184524.78,moderate,beginner,11,1726748.4,income_focus
47,62961.24,3976.05,16517.45,127870.97,22595.84,low,intermediate,28,10000.0,income_focus
19,40809.13,500.0,8742.0,71291.41,0.0,low,beginner,28,694792.19,income_focus
20,82903.57,4134.38,0.0,211269.28,31536.35,moderate,beginner,14,990760.53,capital_preservation
25,80346.09,3648.95,25725.52,234237.1,0.0,high,beginner,9,1216687.5,income_focus
66,65589.73,500.0,0.0,0.0,647.25,low,beginner,9,766190.25,capital_preservation
23,54579.22,1466.77,25616.69,0.0,34690.4,moderate,intermediate,25,2191207.08,capital_preservation
49,177713.42,7874.68,12502.94,274960.48,19149.89,low,beginner,28,1416686.57,capital_preservation
27,129433.23,7321.37,68265.85,257679.46,99838.78,low,beginner,8,349746.06,income_focus
21,59284.79,2517.83,61875.57,68560.8,37301.37,moderate,beginner,26,1004512.51,income_focus
27,137438.84,8276.15,42100.21,276903.88,2069.01,low,beginner,28,1649476.48,income_focus
26,124887.73,6312.94,61229.59,222054.69,29482.77,low,advanced,27,1287164.3,income_focus
60,12000.0,950.0,14938.23,0.0,0.0,low,intermediate,22,2682190.23,income_focus
20,103361.63,6677.66,29116.08,34761.16,31787.47,low,advanced,22,808125.95,income_focus
63,126596.1,5843.86,24579.13,177152.32,53233.52,high,beginner,2,218809.28,income_focus
55,66444.84,1345.18,27706.53,155271.64,0.0,low,intermediate,14,1280789.84,income_focus
48,21807.89,1396.78,0.0,0.0,42454.99,high,beginner,2,1986105.9,capital_preservation
38,100872.41,5543.51,28247.55,167000.31,68255.47,moderate,beginner,12,689145.2,income_focus
42,85134.7,4310.26,38035.66,82721.07,60047.07,low,beginner,13,2081728.59,income_focus
26,12000.0,500.0,0.0,24260.8,0.0,low,beginner,23,1254906.52,capital_preservation
65,103442.28,5480.47,0.0,111430.83,0.0,low,intermediate,27,1784149.21,capital_preservation
55,94124.88,3713.62,35660.25,77837.2,32888.0,moderate,beginner,29,1604258.98,income_focus
62,42034.37,3095.25,27972.75,75282.66,0.0,low,advanced,25,1406945.85,income_focus
34,104688.05,3308.1,21070.3,170189.81,134446.02,moderate,beginner,25,1112381.81,capital_preservation
50,90325.66,4673.6,18739.29,309974.51,13355.13,high,beginner,9,954811.12,income_focus
20,105476.07,6568.47,24435.11,134587.82,0.0,moderate,advanced,10,315341.51,balanced_long_term
67,144355.59,9987.35,21424.27,388769.41,60274.56,low,intermediate,5,1046437.36,capital_preservation
42,66625.01,1375.91,0.0,178326.9,12250.75,moderate,intermediate,26,1596199.19,capital_preservation
59,55477.53,4014.27,53349.02,142563.09,58363.68,low,beginner,19,1460574.38,income_focus
28,108384.73,3650.83,44614.26,0.0,6150.68,moderate,beginner,2,2115548.72,income_focus
55,33148.8,1230.8,10837.98,59201.85,56949.3,low,intermediate,24,258529.64,capital_preservation
44,85139.88,3002.47,15389.24,105608.74,18992.75,high,beginner,2,817077.92,income_focus
21,44760.67,1735.84,0.0,232945.91,9068.72,moderate,beginner,25,1027920.88,capital_preservation
28,85170.83,5966.22,0.0,0.0,8082.96,moderate,beginner,15,1354815.4,capital_preservation
35,130856.97,7233.85,37315.69,311804.36,56705.75,moderate,beginner,6,1082959.84,income_focus
27,151282.91,3992.75,2378.62,84475.91,38418.59,low,intermediate,26,261131.48,capital_preservation
56,195584.08,11126.36,38602.29,249746.13,22486.27,moderate,beginner,16,251611.01,income_focus
31,12990.74,500.0,6963.36,63431.26,21245.64,low,intermediate,22,399841.23,income_focus
61,84521.26,2222.23,13225.37,170625.54,54101.06,high,beginner,2,1755633.08,income_focus
61,118755.48,7763.51,78700.99,30773.24,4503.09,low,beginner,28,10000.0,income_focus
23,103910.2,4639.67,9713.46,74959.81,7875.09,low,beginner,13,1223133.3,capital_preservation
66,62991.51,2663.96,0.0,0.0,0.0,low,intermediate,18,103480.77,capital_preservation
28,83000.37,5352.86,31024.66,218407.62,0.0,moderate,beginner,25,567514.53,income_focus
22,110478.45,4404.13,0.0,23622.27,42127.68,moderate,intermediate,17,1019939.01,capital_preservation
52,112818.58,7033.11,60129.17,49072.9,106829.95,moderate,beginner,10,1050989.97,capital_preservation
