ticker,instrument_name,asset_class,category,risk_level,expense_ratio,liquidity_score,annual_return_1y,annualized_volatility_1y,max_drawdown_1y
VTI,Vanguard Total Stock Market ETF,Broad Market ETF,core,moderate,0.0003,0.93,0.182,0.168,0.094
SPY,SPDR S&P 500 ETF Trust,Broad Market ETF,core,moderate,0.0009,0.99,0.195,0.171,0.087
VOO,Vanguard S&P 500 ETF,Broad Market ETF,core,moderate,0.0003,0.95,0.193,0.169,0.086
QQQ,Invesco QQQ Trust,Growth ETF,growth,high,0.0020,0.97,0.242,0.229,0.121
IWM,iShares Russell 2000 ETF,Small Cap ETF,growth,high,0.0019,0.90,0.114,0.241,0.156
BND,Vanguard Total Bond Market ETF,Bond ETF,stability,low,0.0003,0.88,0.041,0.061,0.032
AGG,iShares Core US Aggregate Bond ETF,Bond ETF,stability,low,0.0003,0.89,0.038,0.057,0.029
SCHD,Schwab US Dividend Equity ETF,Dividend ETF,income,moderate,0.0006,0.87,0.161,0.149,0.082
GLD,SPDR Gold Shares,Gold ETF,hedge,moderate,0.0040,0.91,0.128,0.145,0.074
IAU,iShares Gold Trust,Gold ETF,hedge,moderate,0.0025,0.85,0.121,0.141,0.071
FBGRX,Fidelity Blue Chip Growth Fund,Mutual Fund,growth,high,0.0079,0.67,0.214,0.208,0.117
VWINX,Vanguard Wellesley Income Fund,Mutual Fund,income,low,0.0023,0.62,0.073,0.089,0.051
BRK-B,Berkshire Hathaway Class B,US Stock,quality,moderate,0.0000,0.86,0.176,0.187,0.099
MSFT,Microsoft Corp.,US Stock,quality,moderate,0.0000,0.98,0.266,0.214,0.104
